500	pięćset
Abend	wieczór
Abendbrot	kolacja
Abschaum	męty
Abschaum	wyrzutek
Absicht	intencja
Abstimmung	głosowanie
Abteilung	oddział
Adler	Orzeł
Affäre	romans
Alarm	alarm
Amerika	Ameryka
Anfang	początek
Angelegenheit	sprawa
Angewohnheit	nawyk
Anstand	przyzwoitość
Anteil	udział
Arbeit	praca
Art	sposób
Aufenthalt	pobyt
Aufprall	uderzenie
Aufschub	odroczenie
Ausgang	wyjście
Auto	samochód
Baby	dziecina
Bedarf	potrzeba
Bedeutung	znaczenie
Befehl	rozkaz
Benzin	paliwo
Bereitschaft	gotowość
Besitz	posiadanie
Beweis	dowód
Bild	obrazek
Bilder	zdjęcia
Blick	spojrzenie
Blödsinn	bzdura
Bude	budka
Captain	kapitan
Charme	wdzięk
Chauffeur	szofer
Club	klub
Cousine	kuzynka
Dad	tato
Dame	dama
Deckel	pokrywa
Direktor	dyrektor
Dollar	dolar
Donnerstag	czwartek
Drehung	obrót
Dummkopf	głupek
Dunkelheit	ciemność
Durchgang	przejście
Durchsuchung	rewizja
Ehemann	mąż
Einbruch	włamanie
Einheit	oddział
Einheiten	jednostki
Empfang	przyjęcie
Ende	koniec
Engel	aniołek
Engländer	Anglik
Erde	ziemia
Erlaubnis	upoważnienie
Ermittlungen	śledztwo
Ermächtigung	upoważnienie
Explosion	wybuch
Fahrer	szofer
Fahrt	jazda
Familie	rodzina
Familie	rodzinka
Farbe	kolor
Fenster	okno
Fetzen	strzęp
Fieber	gorączka
Fisch	ryba
Florida	Floryda
Flüssigkeit	płyn
Fotos	zdjęcia
Frage	kwestia
Frau	pani
Frau	żona
Freiwilliger	ochotnik
Freund	kumpel
Freund	przyjaciel
Freundin	dziewczyna
Freundlichkeit	życzliwość
Fähigkeit	zdolność
Fälschung	fałszerstwo
Garantie	gwarancja
Gefängnis	więzienie
Gefühl	poczucie
Geheimnis	tajemnica
Gelegenheit	okazja
Genick	kark
Geräusche	hałas
Gewohnheit	nawyk
Gewässer	woda
Gipfel	góra
Glückwünsch	gratulacje
Gott	Bóg
Granate	granat
Gratulation	gratulacje
Gräfin	hrabina
Haft	areszt
Hand	ręka
Hauptstadt	stolica
Haus	budynek
Haus	dom
Hausherr	gospodarz
Helikopter	helikopter
Herold	herold
Herr	Pan
Herr	gospodarz
Herr	pan
Hilfe	pomóc
Himmel	niebo
Hinterhalt	zasadzka
Hinweis	ślad
Hoheit	wysokość
Hose	spodnie
Hotel	hotel
Hut	kapelusz
Idee	pomysł
Idiot	frajer
Individuum	osobnik
Initialen	inicjały
Intention	intencja
Jude	Żyd
Junge	chłopak
Jungs	chłopcy
Juni	czerwiec
Kapitel	oddział
Kapitän	kapitan
Karussell	karuzel
Keller	piwnica
Kind	dziecina
Klasse	Klasa
Klopfen	pukanie
Kollege	kolega
Kolumbien	Kolumbia
Konsulat	konsulat
Kontakt	kontakt
Kopf	głowa
Korb	kosz
Kraft	moc
Krankheit	choroba
Kugelschreiber	długopis
Kummer	zmartwienie
Käfig	klatka
König	król
Königin	księżniczka
Können	moc
Können	zdolność
Latein	łacina
Leben	życie
Leibwächter	ochrona
Leiter	kierownik
Loch	dziurka
London	Londyn
Lärm	hałas
Macht	moc
Mama	mama
Manager	kierownik
Mann	małżonek
Mann	mąż
Massaker	masakra
Meer	morze
Melodie	melodia
Mistkerl	drań
Mitgefühl	współczucie
Moment	chwila
Monat	miesiąc
Monster	stwór
Monstrum	stwór
Montag	poniedziałek
Muster	szablon
Mädel	dziewczyna
Nachbarschaft	dzielnica
Nachricht	wiadomość
Nacht	noc
Nacken	kark
Name	imienie
Natur	przyroda
Nickerchen	drzemka
Not	potrzeba
Ofen	piec
Onkel	wujaszek
Onkel	wujek
Palast	pałac
Panik	panika
Parade	parada
Paris	Paryż
Party	impreza
Perlen	perły
Person	osoba
Philosoph	filozof
Planet	planet
Platz	miejsce
Polizeipräsident	komisarz
Pommes	frytki
Problem	kłopot
Problem	problem
Professor	profesor
Prostituierte	prostytutka
Prozess	proces
Psychiater	psychiatra
Putzfrau	sprzątaczka
Rand	krawędź
Ratte	szczur
Regen	ulewa
Regenbogen	tęcza
Regierung	Rząd
Reiz	urok
Reiz	wdzięk
Rennen	gonitwa
Rest	reszta
Ritter	rycerz
Rohr	rura
Salat	sałata
Samt	aksamit
Satz	zdanie
Scheune	stodoła
Schiff	statek
Schlacht	bitwa
Schlachtfeld	bitwa
Schloss	zamek
Schlüssel	kluczyk
Schmied	kowal
Schokolade	czekolada
Schritt	krok
Schuft	łajdak
Schwein	bydlak
Schönheit	urok
See	jezioro
See	morze
Senkung	opuszczenie
Sie	pan
Ski-	narciarski
Sofa	kanapa
Sophie	Zofia
Sorge	zmartwienie
Spaß	zabawa
Spiel	mecz
Spinne	pająk
Spur	ślad
Stadt	miasto
Steckdose	kontakt
Stimme	głos
Subjekt	osobnik
Sängerin	piosenkarka
Tag	dzień
Tag	zmierzch
Tal	Dolina
Taschentuch	chustka
Telefon	telefon
Teller	talerz
Text	tekst
Tierschau	menażeria
Toilette	łazienka
Transaktion	transakcja
Treffen	spotkanie
